CAR_MODAL,BRAND,CAR_NAME,CAR_VARIANT,OWNER_TYPE,KM_DRIVEN,FUEL_TYPE,MONTHLY_EMI,CAR_PRICE,LOCATION
2017,Ford,Ecosport,Ecosport TREND 1.5L PETROL ,MANUAL,43277,PETROL,"11,574",592000,New Delhi
2018,Tata,TIAGO,TIAGO NRG PETROL ,MANUAL,35764,PETROL,"8,407",430000,New Delhi
2013,Hyundai,i20,i20 MAGNA 1.2 ,MANUAL,69108,PETROL,"7,031",267000,New Delhi
2014,Maruti,Wagon,Wagon R 1.0 VXI ,MANUAL,72090,PETROL,"6,050",272000,New Delhi
2019,Maruti,Baleno,Baleno ZETA CVT PETROL 1.2 ,AUTOMATIC,15895,PETROL,"14,017",717000,New Delhi
2017,Maruti,Swift,Swift LXI (O) ,MANUAL,42401,PETROL,"8,758",448000,New Delhi
2020,Maruti,Baleno,Baleno ALPHA CVT PETROL 1.2 ,AUTOMATIC,15673,PETROL,"15,288",782000,New Delhi
2012,Maruti,Swift,Swift Dzire VXI ,MANUAL,54292,PETROL,"10,197",307000,New Delhi
2012,Toyota,Etios,Etios Liva G SP ,MANUAL,77476,PETROL,"9,234",278000,New Delhi
2019,Mahindra,XUV500,XUV500 W5 ,MANUAL,56122,DIESEL,"21,764",1001000,New Delhi
2015,Maruti,Ciaz,Ciaz VXI+ ,MANUAL,109535,PETROL,"10,277",462000,New Delhi
2019,Renault,Kwid,Kwid RXT 1.0 ,MANUAL,50023,PETROL,"6,667",341000,New Delhi
2017,Maruti,Baleno,Baleno ZETA CVT PETROL 1.2 ,AUTOMATIC,36035,PETROL,"11,046",565000,New Delhi
2020,Renault,TRIBER,TRIBER RXZ AMT ,AUTOMATIC,13341,PETROL,"13,392",685000,New Delhi
2014,Toyota,Etios,Etios G ,MANUAL,76413,PETROL,"7,719",347000,New Delhi
2018,Maruti,Ciaz,Ciaz DELTA 1.5 SHVS MT PETROL ,MANUAL,95723,PETROL,"12,571",643000,New Delhi
2018,Datsun,Redi,Redi Go A ,MANUAL,84695,PETROL,"4,340",222000,New Delhi
2015,Maruti,Baleno,Baleno ALPHA DIESEL 1.3 ,MANUAL,70867,DIESEL,"40,870",459999,New Delhi
2020,Renault,Kwid,Kwid RXT 1.0 AMT (O) ,AUTOMATIC,52957,PETROL,"7,927",405000,New Delhi
2019,Mahindra,XUV300,XUV300 W8 (O) 1.2 PETROL ,MANUAL,47914,PETROL,"16,921",889000,New Delhi
2012,Maruti,Swift,Swift ZXI ,MANUAL,55346,PETROL,"10,695",322000,New Delhi
2013,Toyota,Etios,Etios Liva G ,MANUAL,41856,PETROL,"8,242",313000,New Delhi
2011,Hyundai,i20,i20 SPORTZ 1.2 ,MANUAL,71485,PETROL,"9,791",208000,New Delhi
2017,Maruti,Ciaz,Ciaz ZETA 1.4 AT PETROL ,AUTOMATIC,91528,PETROL,"12,258",627000,New Delhi
2015,Maruti,Baleno,Baleno ALPHA PETROL 1.2 ,MANUAL,33752,PETROL,"10,107",517000,New Delhi
2011,Maruti,Swift,Swift VXI ,MANUAL,47552,PETROL,"11,062",235000,New Delhi
2017,Honda,Jazz,Jazz 1.2L I-VTEC V AT ,AUTOMATIC,95825,PETROL,"9,990",511000,New Delhi
2017,Maruti,Baleno,Baleno ZETA PETROL 1.2 ,MANUAL,115870,PETROL,"10,622",478000,New Delhi
2022,Renault,Kwid,Kwid CLIMBER 1.0 (O) ,MANUAL,15517,PETROL,"8,974",459000,New Delhi
2017,Maruti,Ciaz,Ciaz ZETA 1.4 AT PETROL ,AUTOMATIC,62898,PETROL,"12,708",650000,New Delhi
2018,Hyundai,Creta,Creta SX PLUS AT 1.6 PETROL ,AUTOMATIC,86490,PETROL,"17,340",911000,New Delhi
2011,Honda,Jazz,Jazz 1.2L I-VTEC BASE ,MANUAL,74253,PETROL,"10,403",221000,New Delhi
2019,Hyundai,VENUE,VENUE SX PLUS 1.0 TURBO DCT ,AUTOMATIC,72340,PETROL,"17,036",894999,New Delhi
2022,Maruti,S,S PRESSO VXI+ ,MANUAL,21688,PETROL,"8,895",455000,New Delhi
2017,Maruti,Baleno,Baleno ZETA PETROL 1.2 ,MANUAL,66418,PETROL,"10,010",512000,New Delhi
2019,Hyundai,NEW,NEW SANTRO SPORTZ CNG ,MANUAL,89405,CNG,"9,189",470000,New Delhi
2020,Maruti,Baleno,Baleno ZETA PETROL 1.2 ,MANUAL,59231,PETROL,"12,453",637000,New Delhi
2021,Mahindra,XUV300,XUV300 W8(O) 1.2 PETROL DUAL TONE ,MANUAL,12532,PETROL,"21,166",1112000,New Delhi
2018,Hyundai,Xcent,Xcent S 1.2 ,MANUAL,87732,CNG,"9,912",507000,New Delhi
2023,Maruti,BREZZA,BREZZA VXI SMART HYBRID ,MANUAL,19281,PETROL,"17,816",936000,New Delhi
2020,Maruti,Vitara,Vitara Brezza VXI AT SHVS ,AUTOMATIC,30949,PETROL,"15,235",800000,New Delhi
2021,Honda,Amaze,Amaze 1.2L I-VTEC S CVT ,AUTOMATIC,43503,PETROL,"12,942",662000,New Delhi
2019,Renault,Duster,Duster RXE PETROL ,MANUAL,39254,PETROL,"12,766",653000,New Delhi
2019,Maruti,Swift,Swift LXI ,MANUAL,57073,PETROL,"8,993",459999,New Delhi
2022,Tata,Safari,Safari XZA PLUS DARK EDITION ,AUTOMATIC,31676,DIESEL,"36,869",1937000,New Delhi
2018,Maruti,Wagon,Wagon R 1.0 LXI CNG ,MANUAL,56257,CNG,"7,468",382000,New Delhi
2022,Maruti,IGNIS,IGNIS DELTA 1.2 ,MANUAL,18015,PETROL,"10,538",539000,New Delhi
2015,Hyundai,Grand,Grand i10 ASTA 1.2 KAPPA VTVT ,MANUAL,40819,PETROL,"6,608",338000,New Delhi
2019,Ford,Ecosport,Ecosport TITANIUM 1.5L DIESEL ,MANUAL,27603,DIESEL,"14,904",670000,New Delhi
2020,Maruti,Baleno,Baleno DELTA PETROL 1.2 ,MANUAL,27841,PETROL,"11,613",594000,New Delhi
2019,Maruti,Vitara,Vitara Brezza ZDI AMT ,AUTOMATIC,28098,DIESEL,"16,528",743000,New Delhi
2017,Hyundai,New,New Elantra 2.0 SX(O) AT PETROL ,AUTOMATIC,113960,PETROL,"19,416",893000,New Delhi
2015,Hyundai,Grand,Grand i10 MAGNA 1.2 KAPPA VTVT ,MANUAL,62536,PETROL,"6,471",331000,New Delhi
2017,Maruti,Baleno,Baleno ALPHA PETROL 1.2 ,MANUAL,91549,PETROL,"9,814",501999,New Delhi
2017,Hyundai,Grand,Grand i10 MAGNA 1.2 KAPPA VTVT ,MANUAL,96739,PETROL,"7,644",391000,New Delhi
2022,Maruti,Alto,Alto VXI ,MANUAL,34574,PETROL,"7,351",376000,New Delhi
2015,Honda,Jazz,Jazz 1.2L I-VTEC SV ,MANUAL,57702,PETROL,"7,722",395000,New Delhi
2017,Maruti,Wagon,Wagon R 1.0 LXI CNG ,MANUAL,110029,CNG,"7,385",332000,New Delhi
2019,Honda,Amaze,Amaze 1.2L I-VTEC S ,MANUAL,23160,PETROL,"11,887",608000,New Delhi
2018,Ford,Ecosport,Ecosport TITANIUM + 1.5L PETROL AT ,AUTOMATIC,80913,PETROL,"14,799",757000,New Delhi
2021,Maruti,Alto,Alto LXI ,MANUAL,16001,PETROL,"7,214",369000,New Delhi
2014,Honda,City,City 1.5L I-VTEC V MT ,MANUAL,81451,PETROL,"10,588",476000,New Delhi
2017,Maruti,Baleno,Baleno ZETA CVT PETROL 1.2 ,AUTOMATIC,69002,PETROL,"10,440",534000,New Delhi
2022,Tata,ALTROZ,ALTROZ XZA PLUS ,AUTOMATIC,24908,PETROL,"16,503",867000,New Delhi
2017,Hyundai,Elite,Elite i20 MAGNA 1.2 ,MANUAL,62492,PETROL,"10,166",520000,New Delhi
2016,Maruti,Baleno,Baleno DELTA PETROL 1.2 ,MANUAL,84123,PETROL,"8,856",453000,New Delhi
2020,Hyundai,Creta,Creta S 1.5 PETROL ,MANUAL,14693,PETROL,"21,623",1136000,New Delhi
2015,Hyundai,Elite,Elite i20 ASTA 1.2 ,MANUAL,93800,PETROL,"8,661",443000,New Delhi
2016,Honda,Amaze,Amaze 1.2L I-VTEC S ,MANUAL,52932,PETROL,"7,879",403000,New Delhi
2019,Hyundai,Xcent,Xcent S 1.2 ,MANUAL,41326,PETROL,"10,429",533000,New Delhi
2017,Hyundai,Creta,Creta E PLUS 1.6 PETROL ,MANUAL,83038,PETROL,"13,939",713000,New Delhi
2018,Ford,FREESTYLE,FREESTYLE TITANIUM 1.2 PETROL ,MANUAL,87411,PETROL,"9,306",476000,New Delhi
2020,Tata,ALTROZ,ALTROZ XE PETROL ,MANUAL,47970,PETROL,"10,303",527000,New Delhi
2020,Maruti,S,S PRESSO LXI ,MANUAL,30651,PETROL,"7,390",378000,New Delhi
2020,KIA,SELTOS,SELTOS HTX 1.5 PETROL ,MANUAL,50450,PETROL,"20,267",1065000,New Delhi
2019,Hyundai,Creta,Creta SX AT 1.6 PETROL ,AUTOMATIC,69534,PETROL,"20,918",1099000,New Delhi
2020,MG,HECTOR,HECTOR SUPER 1.5 PETROL ,MANUAL,67143,PETROL,"20,366",1070000,New Delhi
2016,Maruti,Ciaz,Ciaz ZXI ,MANUAL,57286,PETROL,"10,225",523000,New Delhi
2019,Ford,Ecosport,Ecosport TITANIUM 1.0L ECOBOOST SPORTS(SUNROOF) ,MANUAL,70551,PETROL,"15,093",772000,New Delhi
2021,Mahindra,Thar,Thar LX PETROL HT 4WD AT ,AUTOMATIC,31332,PETROL,"27,028",1420000,New Delhi
2023,Maruti,IGNIS,IGNIS SIGMA 1.2 ,MANUAL,10469,PETROL,"10,225",523000,New Delhi
2022,Mahindra,SCORPIO-N,SCORPIO-N Z8 L PETROL MT 7 STR ,MANUAL,2094,PETROL,"37,840",1988000,New Delhi
2017,Honda,Jazz,Jazz 1.2L I-VTEC V ,MANUAL,75621,PETROL,"9,912",507000,New Delhi
2022,KIA,SONET,SONET HTX 1.0 IMT ,MANUAL,34198,PETROL,"19,167",1007000,New Delhi
2019,Maruti,Baleno,Baleno ZETA PETROL 1.2 ,MANUAL,58961,CNG,"11,351",581000,New Delhi
2019,Ford,Ecosport,Ecosport TITANIUM 1.5L PETROL ,MANUAL,61746,CNG,"12,199",624000,New Delhi
